,Cases 3,Cases count1,Count (Cases 2),Created by,Created time,ID,Name Markdown,airtable_createdTime,airtable_id,auto_gen_id,case count3,count total,county,locality,locality_built,location subtype,location type,name,primary field,state,address,coordinate specificity,latitude,longitude,modern name,Cases,Notes,alternative name,Cases 2
0,['rec9q0ag0gUIbc53e'],0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2023-11-27T16:04:34.000Z,hc.loc.000219,"[Snohomish County Jail (Everett, Washington)](hc.loc.000219)",2023-11-27T16:04:34.000Z,rec04pVfBMkeOVdk0,219,1,1,Snohomish,Everett,"Everett, Snohomish, Washington","[""county jail""]",site of significance,Snohomish County Jail,"Snohomish County Jail (Everett, Washington)",Washington,,,,,,,,,
1,"['recHK3ad1o7iM3Rn6', 'recofhmfAqd0KQkaa', 'recyEAxGlJv7X9M4c', 'recH554FJh9K2kHlT', 'recbTkuTFYYcopV9s']",0,0,"{'email': 'ekrohn3@huskers.unl.edu', 'id': 'usr2WztX1SxQ5Fvvu', 'name': 'Esme Krohn'}",2023-07-17T20:02:34.000Z,hc.loc.000156,"[Whitman County Jail (Colfax, Washington)](hc.loc.000156)",2023-07-17T20:02:34.000Z,rec0VT1BEFi3oEcPG,156,5,5,Whitman,Colfax,"Colfax, Whitman, Washington","[""carceral facility""]",site of significance,Whitman County Jail,"Whitman County Jail (Colfax, Washington)",Washington,"411 N Mill St, Colfax, WA 99111",building,46.8842418739456,-117.36364493862202,,,,,
2,"['receOAncJ8qBIq6th', 'recoDHwlwwtR87zr0']",0,0,"{'email': 'aknopik2@huskers.unl.edu', 'id': 'usrenhAg0xOZRWOR5', 'name': 'Andy Knopik'}",2025-02-17T16:27:38.000Z,hc.loc.000313,"[Spokane City Jail (Spokane, Washington)](hc.loc.000313)",2025-02-17T16:27:38.000Z,rec0WzigGqqmQWOq7,313,2,2,Spokane,Spokane,"Spokane, Spokane, Washington","[""city jail""]",site of significance,Spokane City Jail,"Spokane City Jail (Spokane, Washington)",Washington,,,,,,,,,
3,"['recMMy2dx9NA7tZcD', 'recKh2PFeAfU8IAsI', 'recgXP4LfKjHn6fIh', 'recFK8ZKDAziM5ARO', 'recpOMzFBeENxqp8j']",0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000091,"[Ingleside Hospital for the Insane (Ingleside, Nebraska)](hc.loc.000091)",2023-05-16T18:03:08.000Z,rec0inhNGsblj4h5v,91,5,5,Adams,Ingleside,"Ingleside, Adams, Nebraska","[""insane asylum""]",site of significance,Ingleside Hospital for the Insane,"Ingleside Hospital for the Insane (Ingleside, Nebraska)",Nebraska,"4200 W 2nd St, Hastings, NE 68901",building,40.58774726386211,-98.43995506743195,Hastings Regional Center,,,,
4,['recam0cZj8rLfuYMX'],0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000092,"[Nebraska Sanitarium (Lincoln, Nebraska)](hc.loc.000092)",2023-05-16T18:03:08.000Z,rec0pzpWd9FMizXk1,92,1,1,Lancaster,Lincoln,"Lincoln, Lancaster, Nebraska","[""hospital""]",site of significance,Nebraska Sanitarium,"Nebraska Sanitarium (Lincoln, Nebraska)",Nebraska,,locality,40.813883273944036,-96.70166950546762,,,,,
5,"['recMio8ruZFTsAsNC', 'reckni7lZR2AeezOg']",0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2024-04-08T15:02:06.000Z,hc.loc.000243,"[Los Angeles County Jail (Lose Angeles, California)](hc.loc.000243)",2024-04-08T15:02:06.000Z,rec0tXXItbkZ5iuZU,243,2,2,Los Angeles,Lose Angeles,"Lose Angeles, Los Angeles, California","[""county jail""]",site of significance,Los Angeles County Jail,"Los Angeles County Jail (Lose Angeles, California)",California,,,,,,,,,
6,,1,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2023-12-07T14:50:48.000Z,hc.loc.000223,"[U. S. 1st Judicial District Court (Portland, Oregon)](hc.loc.000223)",2023-12-07T14:50:48.000Z,rec15tFgWR2APD9VF,223,0,1,,Portland,"Portland, , Oregon","[""territorial district court""]",court,U. S. 1st Judicial District Court,"U. S. 1st Judicial District Court (Portland, Oregon)",Oregon,,building,,,,['recQ2SauZNg1kaKjo'],,,
7,"['recL7Vi4opg25PLVz', 'recsv8pQVxnOanMTX', 'recWXoOC166uTR4pE', 'rec5GaidDaUho3LFV', 'recD12E4WOOPfXumv', 'recYKcLiS2N08RCoE', 'rec3WS1NZee2x9J9Z', 'recTk0B4k2fJ8wa9Q']",0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000093,"[St. James Orphanage (Omaha, Nebraska)](hc.loc.000093)",2023-05-16T18:03:08.000Z,rec1Kki18hZxYzQLM,93,8,8,Douglas,Omaha,"Omaha, Douglas, Nebraska","[""juvenile facility""]",site of significance,St. James Orphanage,"St. James Orphanage (Omaha, Nebraska)",Nebraska,"3300 N 60th St, Omaha, NE 68104",building,41.28881193042629,-96.00594943182097,,,,,
8,"['recI3n8OOt3uDEipr', 'rec8vmFJ5qz6n5sMV', 'recGPxojIo6zIem2h', 'recZBClUZNcWS4RLp', 'recfNYs2URcwKULex', 'recNEYAJRW6ojUEjo', 'recSwXZ5kXFTlewkW', 'recxxvNshJ67v2ai8', 'rec3p3IZifS09822Y']",0,0,"{'email': 'ethand479@gmail.com', 'id': 'usrbjsFnLIzOrzoQf', 'name': 'Ethan Dunn'}",2023-10-12T19:07:55.000Z,hc.loc.000205,"[House of the Good Shepherd (Seattle, Washington)](hc.loc.000205)",2023-10-12T19:07:55.000Z,rec1LGy7GKQs9isAx,205,9,9,King County,Seattle,"Seattle, King County, Washington","[""welfare organization"", ""children's home""]",site of significance,House of the Good Shepherd,"House of the Good Shepherd (Seattle, Washington)",Washington,4649 Sunnyside Avenue,,,,,,https://www.historylink.org/file/3837,,
9,"['rec0s9qISbPiTLGgc', 'rec62H0TybG1wtAtM', 'recUy5fwfu5PBaQJf', 'recGnXp1PtQNfj9kz']",0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2023-12-04T16:25:54.000Z,hc.loc.000221,"[Thurston County Jail (Pender, Nebraska)](hc.loc.000221)",2023-12-04T16:25:54.000Z,rec1TfIMMVPQV3aJ8,221,4,4,Thurston,Pender,"Pender, Thurston, Nebraska","[""county jail""]",site of significance,Thurston County Jail,"Thurston County Jail (Pender, Nebraska)",Nebraska,,,,,,,,,
